Resource Type,Region,Identifier,Nukable
iam-role,global,abdul-wsl-kinetic-locatio-LambdaGETlocationfirmware-yAhrXIMgj6zV,-
iam-role,global,abdul-wsl-kinetic-locatio-LambdaPOSTlocationfirmwar-jOY3VIKHkECY,-
iam-role,global,abdul-wsl-kinetic-monitor-CustomResourceHandlerServ-8WynPjnT3F5h,-
iam-role,global,abdul-wsl-kinetic-mtdevic-CustomResourceHandlerServ-pmZ92VCvpiHh,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTAddTargetsToJobServiceR-d25Qn9HDxnSn,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTAddThingsToGroupService-0yM6xkDZrffA,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTAddToFWUpgradeServiceRo-kjJBdaYxot4I,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTCancelUpgradeJobService-RQQIlfokYi55,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTCreateFWUpgradeServiceR-TlZp94lIP0KR,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTCreateIoTJobServiceRole-KVCRdF4hf0V9,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTCreateThingGroupService-HDZb21zQqvg9,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetBinReportForLocation-VEB4Yd1E5Hpk,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetIotJobInfoServiceRol-b0czkTPMHiRq,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetIoTJobsServiceRoleA2-pc2NAO6Avuzo,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetLocationsAndBinnedFW-WpvNkLOOw5MM,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetThingGroupsServiceRo-vYs61w0Fge47,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTGetThingsForGroupServic-iYljT5a8a4IM,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTListIoTJobExesServiceRo-nlorNGVNJFzh,-
iam-role,global,abdul-wsl-kinetic-mtdevic-MTRemoveThingsFromGroupSe-q17KmuVE0KpO,-
iam-role,global,abdul-wsl-kinetic-pipelin-CustomResourceHandlerServ-vToUwDU3RDoz,-
iam-role,global,abdul-wsl-kinetic-redshif-BucketNotificationsHandle-uSlo0ImOuKzT,-
iam-role,global,abdul-wsl-kinetic-redshif-CustomResourceHandlerServ-3oCUGDvOtzst,-
iam-role,global,abdul-wsl-kinetic-redshif-CustomResourceHandlerServ-EDDzbz8oqF9F,-
iam-role,global,abdul-wsl-kinetic-redshif-CustomS3AutoDeleteObjects-XVrgiAM1I40q,-
iam-role,global,abdul-wsl-kinetic-redshif-NotificationRedshiftExpor-JgvLRIQ9grkK,-
iam-role,global,abdul-wsl-kinetic-redshif-RedshiftExportRoleF03E549-VsyteWgtCEw1,-
iam-role,global,abdul-wsl-kinetic-redshif-RedshiftInitonUpdateFunct-uAEx7qmkuZbw,-
iam-role,global,abdul-wsl-kinetic-redshif-RedshiftInitScriptHandler-2Gq2BbqQ8LTu,-
iam-role,global,abdul-wsl-kinetic-render-CustomResourceHandlerServi-NBEsvvdmFRwT,-
iam-role,global,abdul-wsl-kinetic-render-CustomS3AutoDeleteObjectsC-yopHQYYY9HAV,-
iam-role,global,abdul-wsl-kinetic-render-renderServiceRole54DFF9F5-MucbfuM7RrNi,-
iam-role,global,abdul-wsl-kinetic-reports-CustomResourceHandlerServ-GSPpNqFQSDY9,-
iam-role,global,abdul-wsl-kinetic-reports-individualFinishServiceRo-M6aCObBjuddU,-
iam-role,global,abdul-wsl-kinetic-reports-individualPrintServiceRol-eMFWpxErqY0y,-
